,,Grouped by deterioration_14d,Grouped by deterioration_14d,Grouped by deterioration_14d,Grouped by deterioration_14d,Grouped by deterioration_14d
,,Missing,Overall,0,1,P-Value
n,,,42000,38632,3368,
"age, mean (SD)",,0,62.5 (12.0),62.5 (12.0),62.9 (11.8),0.059
"sex, n (%)",Female,,20076 (47.8),18470 (47.8),1606 (47.7),0.903
"sex, n (%)",Male,,21924 (52.2),20162 (52.2),1762 (52.3),
"comorbidity_count, mean (SD)",,0,2.1 (1.3),2.0 (1.3),2.7 (1.4),<0.001
"prior_hospitalisation, n (%)",0,,29148 (69.4),27234 (70.5),1914 (56.8),<0.001
"prior_hospitalisation, n (%)",1,,12852 (30.6),11398 (29.5),1454 (43.2),
"mean_heart_rate, mean (SD)",,0,79.0 (9.2),78.7 (9.2),82.4 (9.0),<0.001
"sdnn, mean (SD)",,0,37.9 (8.3),38.2 (8.3),34.0 (8.2),<0.001
"rmssd, mean (SD)",,0,32.0 (7.3),32.1 (7.3),30.8 (7.5),<0.001
"cough_count, mean (SD)",,0,5.0 (2.3),5.0 (2.3),5.5 (2.4),<0.001
"irregular_rhythm_burden, mean (SD)",,0,0.1 (0.1),0.1 (0.1),0.1 (0.1),<0.001
"ecg_quality_score, mean (SD)",,0,0.9 (0.1),0.9 (0.1),0.9 (0.1),0.401
"valid_ecg_recordings, mean (SD)",,0,5.2 (2.4),5.2 (2.4),5.2 (2.3),0.61
